TIMESTAMP,RECORD,P_Total,F_Comp,T_RHS_OUT,RH_OUT,T_RHS_IN,RH_IN,T_RHS_SUP,RH_SUP,T_OUT,T_RO_M,T_RO_O,T_RI_M,T_RI_O,T_AI,T_AO1,T_AO2,T_AO3,T_ROOM_1,T_ROOM_2,T_ROOM_3,A_CI,A_HP_Total,A_I,T_Stack,A_Pan,A_Crank,P_Furnace1,P_Furnace2,P_Furnace3,P_AHU,P_Average,P_Weighted
2021-02-20 00:00:00,23460,0,0.0,-1.607,94.254,9.944,52.507,10.695,57.512,-1.4113,0.958341,2.10621,8.717418,9.21527,9.232427,9.83263,9.558338,10.695,,,,,1.398396,0.04013606,,,,,,,0,,
2021-02-20 00:00:05,23461,0,0.0,-1.607,94.276,9.931,52.494,10.708,57.512,-1.434916,0.9593962,2.108027,8.700243,9.19811,9.19811,9.781211,9.524041,10.708,,,,,1.402761,0.03945578,,,,,,,0,,
2021-02-20 00:00:10,23462,0,0.0,-1.607,94.305,9.944,52.462,10.695,57.535,-1.447939,0.9567476,2.109093,8.700243,9.21527,9.21527,9.81549,9.558338,10.695,,,,,1.400802,0.04013606,,,,,,,0,,
2021-02-20 00:00:15,23463,0,0.0,-1.607,94.287,9.958,52.475,10.695,57.398,-1.455641,0.9632872,2.103657,8.700243,9.19811,9.21527,9.79835,9.575486,10.695,,,,,1.401591,0.03945578,,,,,,,0,,
2021-02-20 00:00:20,23464,0,0.0,-1.623,94.351,9.917,52.48,10.681,57.259,-1.464994,0.9642845,2.105576,8.700243,9.19811,9.21527,9.83263,9.575486,10.681,,,,,1.395961,0.04013606,,,,,,,0,,
2021-02-20 00:00:25,23465,0,0.0,-1.593,94.36,9.931,52.458,10.681,57.259,-1.474734,0.9721373,2.103694,8.700243,9.19811,9.19811,9.83263,9.592632,10.681,,,,,1.39822,0.04081632,,,,,,,0,,
2021-02-20 00:00:30,23466,0,0.0,-1.593,94.381,9.931,52.458,10.708,57.274,-1.458919,0.9694822,2.103505,8.700243,9.19811,9.21527,9.849768,9.592632,10.708,,,,,1.404344,0.04081632,,,,,,,0,,
2021-02-20 00:00:35,23467,0,0.0,-1.593,94.399,9.931,52.458,10.681,57.224,-1.434435,0.9824938,2.104874,8.717418,9.21527,9.232427,9.866906,9.609778,10.681,,,,,1.401833,0.03945578,,,,,,,0,,
2021-02-20 00:00:40,23468,0,0.0,-1.58,94.404,9.931,52.494,10.681,57.201,-1.408021,0.9863008,2.104253,8.700243,9.21527,9.21527,9.866906,9.609778,10.681,,,,,1.404493,0.03945578,,,,,,,0,,
2021-02-20 00:00:45,23469,0,0.0,-1.607,94.377,9.901,52.523,10.695,57.215,-1.386813,0.9873108,2.106643,8.700243,9.21527,9.21527,9.866906,9.609778,10.695,,,,,1.398575,0.03945578,,,,,,,0,,
2021-02-20 00:00:50,23470,0,0.0,-1.593,94.41,9.944,52.541,10.708,57.412,-1.388924,0.9911158,2.110529,8.700243,9.19811,9.19811,9.866906,9.592632,10.708,,,,,1.397968,0.03945578,,,,,,,0,,
2021-02-20 00:00:55,23471,0,0.0,-1.593,94.381,9.901,52.535,10.681,57.361,-1.377034,0.982003,2.103745,8.700243,9.19811,9.19811,9.884042,9.626925,10.681,,,,,1.398439,0.03945578,,,,,,,0,,
2021-02-20 00:01:00,23472,0,0.0,-1.623,94.442,9.931,52.585,10.681,57.43,-1.370357,0.9791536,2.110543,8.683066,9.18095,9.18095,9.866906,9.626925,10.681,,,,,1.402442,0.03945578,,,,,,,0,,
2021-02-20 00:01:05,23473,0,0.0,-1.607,94.406,9.917,52.594,10.681,57.622,-1.353602,0.9756476,2.107069,8.700243,9.19811,9.19811,9.866906,9.64407,10.681,,,,,1.397145,0.03877551,,,,,,,0,,
2021-02-20 00:01:10,23474,0,0.0,-1.623,94.381,9.944,52.654,10.695,57.717,-1.349441,0.9700337,2.105462,8.683096,9.180965,9.180965,9.849759,9.609778,10.695,,,,,1.398804,0.03945578,,,,,,,0,,
2021-02-20 00:01:15,23475,0,0.0,-1.593,94.41,9.931,52.654,10.695,57.705,-1.336513,0.9698739,2.107068,8.700272,9.198123,9.198123,9.849759,9.626923,10.695,,,,,1.396269,0.03945578,,,,,,,0,,
2021-02-20 00:01:20,23476,0,0.0,-1.607,94.396,9.917,52.719,10.724,57.824,-1.343957,0.9691216,2.106957,8.700272,9.198123,9.198123,9.832621,9.609778,10.724,,,,,1.399692,0.03945578,,,,,,,0,,
2021-02-20 00:01:25,23477,0,0.0,-1.593,94.441,9.917,52.745,10.724,57.709,-1.372725,0.966109,2.106435,8.700272,9.198123,9.198123,9.832621,9.592632,10.724,,,,,1.399723,0.04081632,,,,,,,0,,
2021-02-20 00:01:30,23478,0,0.0,-1.607,94.468,9.917,52.756,10.737,57.552,-1.376916,0.9651478,2.100097,8.700272,9.198123,9.198123,9.832621,9.592632,10.737,,,,,1.402075,0.0414966,,,,,,,0,,
2021-02-20 00:01:35,23479,0,0.0,-1.593,94.451,9.917,52.745,10.737,57.552,-1.384772,0.9680636,2.106134,8.700272,9.198123,9.198123,9.849759,9.609778,10.737,,,,,1.401094,0.0414966,,,,,,,0,,
2021-02-20 00:01:40,23480,0,0.0,-1.607,94.486,9.901,52.718,10.695,57.296,-1.393017,0.9719791,2.106105,8.683096,9.198123,9.198123,9.849759,9.592632,10.695,,,,,1.402125,0.0414966,,,,,,,0,,
2021-02-20 00:01:45,23481,0,0.0,-1.593,94.441,9.875,52.784,10.724,57.242,-1.411001,0.9710174,2.103761,8.700272,9.198123,9.180965,9.832621,9.575486,10.724,,,,,1.402481,0.04217687,,,,,,,0,,
2021-02-20 00:01:50,23482,0,0.0,-1.593,94.428,9.917,52.811,10.708,57.218,-1.410725,0.9732241,2.106446,8.683096,9.198123,9.180965,9.832621,9.592632,10.708,,,,,1.397198,0.04081632,,,,,,,0,,
2021-02-20 00:01:55,23483,0,0.0,-1.593,94.47,9.931,52.837,10.724,57.196,-1.423979,0.970605,2.103725,8.683096,9.180965,9.163804,9.798344,9.558339,10.724,,,,,1.396333,0.04217687,,,,,,,0,,
2021-02-20 00:02:00,23484,0,0.0,-1.58,94.433,9.887999,52.832,10.724,57.369,-1.420985,0.9718623,2.110108,8.665919,9.180965,9.163804,9.815483,9.575486,10.724,,,,,1.399877,0.0414966,,,,,,,0,,
2021-02-20 00:02:05,23485,0,0.0,-1.593,94.428,9.901,52.889,10.708,57.524,-1.422272,0.971554,2.11303,8.665919,9.180965,9.163804,9.832621,9.592632,10.708,,,,,1.399477,0.04081632,,,,,,,0,,
2021-02-20 00:02:10,23486,0,0.0,-1.607,94.486,9.901,52.878,10.708,57.512,-1.437095,0.9668842,2.110568,8.665919,9.180965,9.146644,9.832621,9.575486,10.708,,,,,1.397131,0.04217687,,,,,,,0,,
2021-02-20 00:02:15,23487,0,0.0,-1.593,94.5,9.901,52.924,10.737,57.448,-1.452131,0.962109,2.108016,8.683096,9.198123,9.163804,9.832621,9.575486,10.737,,,,,1.397231,0.04081632,,,,,,,0,,
2021-02-20 00:02:20,23488,0,0.0,-1.58,94.465,9.887999,52.944,10.724,57.323,-1.474706,0.9591009,2.10556,8.665919,9.180965,9.146644,9.832621,9.575486,10.724,,,,,1.395153,0.0414966,,,,,,,0,,
2021-02-20 00:02:25,23489,0,0.0,-1.607,94.515,9.887999,52.933,10.737,57.245,-1.474209,0.956693,2.105086,8.683096,9.198123,9.180965,9.884034,9.626923,10.737,,,,,1.397576,0.04217687,,,,,,,0,,
2021-02-20 00:02:30,23490,0,0.0,-1.593,94.46,9.917,52.983,10.724,57.346,-1.48489,0.9613778,2.107507,8.700272,9.215282,9.180965,9.901169,9.644068,10.724,,,,,1.393968,0.04217687,,,,,,,0,,
2021-02-20 00:02:35,23491,0,0.0,-1.607,94.528,9.887999,52.91,10.724,57.415,-1.484159,0.9606908,2.107038,8.683096,9.198123,9.163804,9.884034,9.626923,10.724,,,,,1.396433,0.04217687,,,,,,,0,,
2021-02-20 00:02:40,23492,0,0.0,-1.593,94.561,9.875,52.864,10.724,57.392,-1.477453,0.962167,2.106249,8.683096,9.180965,9.163804,9.884034,9.626923,10.724,,,,,1.396622,0.04217687,,,,,,,0,,
2021-02-20 00:02:45,23493,0,0.0,-1.607,94.557,9.875,52.852,10.708,57.343,-1.456648,0.964046,2.105042,8.683096,9.198123,9.163804,9.884034,9.644068,10.708,,,,,1.397783,0.04217687,,,,,,,0,,
2021-02-20 00:02:50,23494,0,0.0,-1.593,94.561,9.875,52.852,10.708,57.412,-1.426218,0.9652848,2.107101,8.683096,9.198123,9.146644,9.884034,9.644068,10.708,,,,,1.394508,0.04081632,,,,,,,0,,
2021-02-20 00:02:55,23495,0,0.0,-1.567,94.579,9.875,52.819,10.737,57.279,-1.43287,0.9566881,2.103909,8.665919,9.180965,9.129482,9.866896,9.592632,10.737,,,,,1.399461,0.04217687,,,,,,,0,,
2021-02-20 00:03:00,23496,0,0.0,-1.593,94.541,9.875,52.806,10.724,57.357,-1.438892,0.9595226,2.101931,8.683081,9.180957,9.146636,9.901174,9.609778,10.724,,,,,1.403272,0.04217687,,,,,,,0,,
2021-02-20 00:03:05,23497,0,0.0,-1.607,94.528,9.845,52.539,10.737,57.346,-1.428868,0.9596758,2.102595,8.700256,9.198116,9.146636,9.91831,9.644069,10.737,,,,,1.396311,0.04081632,,,,,,,0,,
2021-02-20 00:03:10,23498,0,0.0,-1.58,94.514,9.875,52.463,10.724,57.311,-1.430544,0.9613321,2.099825,8.683081,9.198116,9.129474,9.901174,9.644069,10.724,,,,,1.401512,0.04217687,,,,,,,0,,
2021-02-20 00:03:15,23499,0,0.0,-1.607,94.447,9.875,52.384,10.737,57.256,-1.4326,0.9664806,2.107915,8.683081,9.198116,9.129474,9.901174,9.626923,10.737,,,,,1.399165,0.04217687,,,,,,,0,,
2021-02-20 00:03:20,23500,0,0.0,-1.607,94.468,9.861,52.384,10.681,57.224,-1.413142,0.9599254,2.101309,8.683081,9.198116,9.112312,9.901174,9.644069,10.681,,,,,1.402606,0.04217687,,,,,,,0,,
2021-02-20 00:03:25,23501,0,0.0,-1.623,94.442,9.875,52.188,10.724,57.402,-1.40741,0.9671105,2.110556,8.683081,9.180957,9.112312,9.884038,9.626923,10.724,,,,,1.400182,0.04353742,,,,,,,0,,
2021-02-20 00:03:30,23502,0,0.0,-1.593,94.39,9.861,52.141,10.724,57.434,-1.415289,0.9632373,2.10585,8.683081,9.198116,9.112312,9.884038,9.644069,10.724,,,,,1.400521,0.04285714,,,,,,,0,,
2021-02-20 00:03:35,23503,0,0.0,-1.607,94.377,9.845,52.164,10.737,57.302,-1.393693,0.9655782,2.109653,8.665904,9.163797,9.09515,9.884038,9.644069,10.737,,,,,1.397805,0.04217687,,,,,,,0,,
2021-02-20 00:03:40,23504,0,0.0,-1.593,94.381,9.845,52.027,10.708,57.286,-1.386258,0.9634039,2.108752,8.683081,9.180957,9.09515,9.91831,9.644069,10.708,,,,,1.39901,0.04353742,,,,,,,0,,
2021-02-20 00:03:45,23505,0,0.0,-1.58,94.364,9.861,51.937,10.737,57.291,-1.394462,0.9545106,2.104888,8.683081,9.180957,9.09515,9.901174,9.644069,10.737,,,,,1.401473,0.04353742,,,,,,,0,,
2021-02-20 00:03:50,23506,0,0.0,-1.607,94.326,9.845,51.844,10.724,57.323,-1.401151,0.9481519,2.111388,8.648726,9.163797,9.09515,9.884038,9.626923,10.724,,,,,1.396849,0.04217687,,,,,,,0,,
2021-02-20 00:03:55,23507,0,0.0,-1.593,94.34,9.845,51.786,10.724,57.38,-1.415486,0.9420561,2.103562,8.665904,9.180957,9.112312,9.884038,9.626923,10.724,,,,,1.395442,0.04285714,,,,,,,0,,
2021-02-20 00:04:00,23508,0,0.0,-1.567,94.328,9.832,51.715,10.737,57.291,-1.427504,0.9358411,2.107076,8.665904,9.180957,9.09515,9.901174,9.644069,10.737,,,,,1.39608,0.04217687,,,,,,,0,,
2021-02-20 00:04:05,23509,0,0.0,-1.593,94.28,9.832,51.625,10.695,57.09,-1.441009,0.9372018,2.101195,8.648726,9.163797,9.077986,9.884038,9.609778,10.695,,,,,1.394453,0.04217687,,,,,,,0,,
2021-02-20 00:04:10,23510,0,0.0,-1.607,94.267,9.845,51.57,10.708,57.228,-1.464887,0.9317296,2.098272,8.665904,9.180957,9.077986,9.901174,9.626923,10.708,,,,,1.397078,0.04353742,,,,,,,0,,
2021-02-20 00:04:15,23511,0,0.0,-1.593,94.23,9.819,51.509,10.708,57.424,-1.464097,0.9316735,2.098566,8.665904,9.180957,9.077986,9.901174,9.626923,10.708,,,,,1.399342,0.04217687,,,,,,,0,,
2021-02-20 00:04:20,23512,0,0.0,-1.593,94.18,9.819,51.451,10.708,57.355,-1.456972,0.9309807,2.104151,8.665904,9.180957,9.077986,9.884038,9.626923,10.708,,,,,1.40142,0.04353742,,,,,,,0,,
2021-02-20 00:04:25,23513,0,0.0,-1.593,94.18,9.805,51.358,10.695,57.341,-1.452774,0.926835,2.09878,8.665904,9.180957,9.077986,9.866901,9.592632,10.695,,,,,1.39891,0.04353742,,,,,,,0,,
2021-02-20 00:04:30,23514,0,0.0,-1.607,94.134,9.805,51.267,10.724,57.47,-1.473979,0.9278181,2.095205,8.648726,9.163797,9.060824,9.849763,9.592632,10.724,,,,,1.399715,0.04285714,,,,,,,0,,
2021-02-20 00:04:35,23515,0,0.0,-1.593,94.117,9.819,51.235,10.724,57.38,-1.483923,0.9243793,2.098403,8.665904,9.180957,9.060824,9.884038,9.609778,10.724,,,,,1.40031,0.04217687,,,,,,,0,,
2021-02-20 00:04:40,23516,0,0.0,-1.593,94.108,9.805,51.235,10.708,57.524,-1.47124,0.9218776,2.093789,8.665904,9.180957,9.060824,9.884038,9.626923,10.708,,,,,1.401655,0.04353742,,,,,,,0,,
2021-02-20 00:04:45,23517,0,0.0,-1.607,94.033,9.788999,51.186,10.724,57.561,-1.490364,0.9240625,2.095283,8.648726,9.163797,9.043659,9.849763,9.592632,10.724,,,,,1.400475,0.04285714,,,,,,,0,,
2021-02-20 00:04:50,23518,0,0.0,-1.607,94.033,9.805,51.189,10.695,57.557,-1.495966,0.9211713,2.091355,8.665866,9.18094,9.060802,9.866912,9.609779,10.695,,,,,1.396711,0.04285714,,,,,,,0,,
2021-02-20 00:04:55,23519,0,0.0,-1.607,94.044,9.805,51.143,10.724,57.457,-1.471818,0.9166314,2.093606,8.665866,9.18094,9.060802,9.849774,9.592632,10.724,,,,,1.399017,0.04353742,,,,,,,0,,
2021-02-20 00:05:00,23520,0,0.0,-1.593,94.038,9.805,51.12,10.708,57.447,-1.46719,0.919558,2.089098,8.665866,9.18094,9.060802,9.832635,9.575486,10.708,,,,,1.401872,0.04217687,,,,,,,0,,
2021-02-20 00:05:05,23521,0,0.0,-1.593,94.029,9.788999,51.107,10.724,57.415,-1.466206,0.9114026,2.088057,8.648687,9.18094,9.060802,9.815497,9.558338,10.724,,,,,1.397461,0.04217687,,,,,,,0,,
2021-02-20 00:05:10,23522,1800,0.0,-1.623,94.029,9.805,51.074,10.708,57.355,-1.467065,0.9177222,2.096724,8.648687,9.18094,9.043636,9.798356,9.558338,10.708,,,,,1.400056,0.04353742,,,,,,,0,1800.0,1800.0
2021-02-20 00:05:15,23523,0,0.0,-1.593,94.029,9.805,51.003,10.695,57.41,-1.45811,0.9150557,2.091879,8.648687,9.18094,9.043636,9.798356,9.541188,10.695,,,,,1.399388,0.04285714,,,,,,,0,26.08695652173913,26.15971531515166
2021-02-20 00:05:20,23524,0,0.0,-1.593,94.067,9.762999,51.033,10.724,57.369,-1.439349,0.9092982,2.088596,8.648687,9.18094,9.060802,9.781216,9.541188,10.724,,,,,1.395298,0.04285714,,,,,,,0,26.08695652173913,26.0832581527071
2021-02-20 00:05:25,23525,0,0.0,-1.607,94.053,9.762999,50.988,10.695,57.215,-1.421038,0.9145959,2.090638,8.648687,9.18094,9.060802,9.798356,9.541188,10.695,,,,,1.400218,0.04353742,,,,,,,0,26.08695652173913,26.175231071833565
2021-02-20 00:05:30,23526,0,0.0,-1.593,94.067,9.762999,50.952,10.695,57.227,-1.403608,0.9160785,2.093379,8.648687,9.18094,9.043636,9.832635,9.575486,10.695,,,,,1.400784,0.04353742,,,,,,,0,26.08695652173913,26.185811696269656
2021-02-20 00:05:35,23527,0,0.0,-1.623,94.081,9.788999,50.957,10.708,57.126,-1.432184,0.9189795,2.087276,8.648687,9.18094,9.043636,9.849774,9.592632,10.708,,,,,1.39709,0.04217687,,,,,,,0,26.08695652173913,26.11675723219381
2021-02-20 00:05:40,23528,0,0.0,-1.623,94.09,9.805,50.98,10.681,57.293,-1.434124,0.9190138,2.090586,8.648687,9.18094,9.043636,9.815497,9.575486,10.681,,,,,1.400266,0.04353742,,,,,,,0,26.08695652173913,26.17612836860553
2021-02-20 00:05:45,23529,0,0.0,-1.623,94.129,9.776,50.955,10.695,57.387,-1.432463,0.9186355,2.086991,8.648687,9.163778,9.043636,9.815497,9.541188,10.695,,,,,1.399187,0.04353742,,,,,,,0,26.08695652173913,26.15595788491905
2021-02-20 00:05:50,23530,0,0.0,-1.623,94.12,9.762999,50.93,10.681,57.43,-1.414216,0.9201917,2.092724,8.648687,9.18094,9.043636,9.815497,9.541188,10.681,,,,,1.400209,0.04285714,,,,,,,0,26.08695652173913,26.17506282868882
2021-02-20 00:05:55,23531,0,0.0,-1.623,94.14,9.776,50.897,10.708,57.332,-1.396203,0.919485,2.087006,8.648687,9.163778,9.026471,9.798356,9.52404,10.708,,,,,1.398736,0.04353742,,,,,,,0,26.08695652173913,26.147527033999125
2021-02-20 00:06:00,23532,0,0.0,-1.593,94.189,9.762999,50.896,10.681,57.293,-1.407329,0.9232874,2.087644,8.648687,9.163778,9.026471,9.798356,9.52404,10.681,,,,,1.39928,0.04285714,,,,,,,0,26.08695652173913,26.15769639741474
2021-02-20 00:06:05,23533,0,0.0,-1.607,94.186,9.788999,50.855,10.668,57.245,-1.417118,0.923799,2.086108,8.648687,9.163778,9.026471,9.798356,9.541188,10.668,,,,,1.401641,0.04217687,,,,,,,0,26.08695652173913,26.20183218238579
